"no","url",
1,"http://www.twspecial.com/article/1166",
2,"http://bobofat87871.pixnet.net/blog/post/170504637",
3,"http://blog.cnyes.com/My/bobofat8787/article2422324",
4,"http://mypaper.pchome.com.tw/traceynbdc3/post/1371555220",
5,"http://blog.udn.com/bobofat87871/106246233",
6,"http://blog.sina.com.tw/bobofat8787/article.php?pbgid=177740&entryid=638942",
7,"http://blog.xuite.net/bobofat8787/blog/518729424",
8,"http://blog.youthwant.com.tw/tracebdc3/traceynbdc3/21/",
9,"http://blog.qooza.hk/traceynbdc3?eid=29078262",
10,"http://www.weshare.hk/traceynbdc3/articles/4611518",
11,"https://yahoo266.wordpress.com/2017/07/11/%E5%A4%9A%E5%AE%B6%E7%B7%9A%E4%B8%8A%E8%8B%B1%E8%AA%9E%E6%95%99%E5%AD%B8%E6%AF%94%E8%BC%83%E7%B6%B2%E5%8F%8B%E8%A9%95%E5%83%B9%E6%95%B4%E7%90%86%E2%94%82tutorabcetalkingtutor4uengoohitutor/#more-57",
12,"http://traceynbdc3.blog.fc2.com/blog-entry-21.html",
13,"http://blog.roodo.com/bobofat8787/archives/61739192.html",
14,"https://traceynbdc3.nidbox.com/diary/read/9609624",
15,"http://blog.livedoor.jp/traceynbdc3/archives/71734155.html",
16,"http://traceynbdc3-blog.logdown.com/posts/2037624",
17,"http://traceynbdc3.over-blog.com/2017/07/tutorabc/etalking/tutor4u/engoo/hitutor/ef.html",
18,"https://bobofat8787.blogspot.tw/2017/07/blog-post_11.html",
19,"http://traceynbdc3.tumblr.com/post/162857767027",
20,"http://traceynbdc34.webnode.tw/news/%E5%A4%9A%E5%AE%B6%E7%B7%9A%E4%B8%8A%E8%8B%B1%E8%AA%9E%E6%95%99%E5%AD%B8%E6%AF%94%E8%BC%83-%E7%B6%B2%E5%8F%8B%E8%A9%95%E5%83%B9%E6%95%B4%E7%90%86%E2%94%82tutorabc-etalking-tutor4u-engoo-hitutor-%E5%B7%A8%E5%8C%A0-ef/?_ga=2.131709385.779442195.1499763748-949579161.1499763748",
21,"http://traceynbdc3.hatenablog.com/entry/2017/07/11/181438",
22,"http://youngyqfgeb3.pixnet.net/blog/post/343038868",
23,"http://blog.cnyes.com/My/youngyqfgeb3/article2422628",
24,"http://blog.udn.com/youngyqfgeb3/106298928",
25,"http://blog.youthwant.com.tw/youngyqfge/youngyqfgeb/3/",
26,"https://youngyqfgeb3.wordpress.com/2017/07/12/%E5%A4%9A%E5%AE%B6%E7%B7%9A%E4%B8%8A%E8%8B%B1%E8%AA%9E%E6%95%99%E5%AD%B8%E6%AF%94%E8%BC%83%E7%B6%B2%E5%8F%8B%E8%A9%95%E5%83%B9%E6%95%B4%E7%90%86%E2%94%82tutorabcetalkingtutor4uengoohitutor/#more-8",
27,"http://youngyqfgeb3.blog.fc2.com/blog-entry-3.html",
28,"http://blog.roodo.com/youngyqfgeb3/archives/61743540.html",
29,"https://youngyqfgeb3.nidbox.com/diary/read/9610377",
30,"http://blog.livedoor.jp/youngyqfgeb3/archives/71747134.html",
31,"http://youngyqfgeb3-blog.logdown.com/posts/2040109",
32,"https://youngyqfgeb3.blogspot.tw/2017/07/blog-post.html",
33,"https://youngyqfgeb3.tumblr.com/post/162894345981/",
34,"http://emily030817.pixnet.net/blog/post/170726343",
35,"http://blog.udn.com/emily030817/106318478",
36,"http://blog.xuite.net/emily030817/blog/518970152",
37,"https://yahoo1152.wordpress.com/2017/07/12/%E5%A4%9A%E5%AE%B6%E7%B7%9A%E4%B8%8A%E8%8B%B1%E8%AA%9E%E6%95%99%E5%AD%B8%E6%AF%94%E8%BC%83%E7%B6%B2%E5%8F%8B%E8%A9%95%E5%83%B9%E6%95%B4%E7%90%86%E2%94%82tutorabcetalkingtutor4uengoohitutor/",
38,"http://emily030817.blog.fc2.com/blog-entry-16.html","連結失效"
39,"http://blog.youthwant.com.tw/emily03081/emily03081/13/",
40,"http://blog.cnyes.com/My/emily03081/article2422863",
41,"http://blog.roodo.com/emily030817/archives/61743695.html",
42,"http://blog.sina.com.tw/emily03081/article.php?entryid=640490",
43,"http://youngyqfgeb3.hatenablog.com/entry/2017/07/12/%E5%A4%9A%E5%AE%B6%E7%B7%9A%E4%B8%8A%E8%8B%B1%E8%AA%9E%E6%95%99%E5%AD%B8%E6%AF%94%E8%BC%83%26%E7%B6%B2%E5%8F%8B%E8%A9%95%E5%83%B9%E6%95%B4%E7%90%86%E2%94%82TutorABC/Etalking/Tutor4U/Engoo/Hitutor/ ",
44,"http://mypaper.pchome.com.tw/emily03081/post/1371571617",
45,"http://www.intalking.com/home.php?mod=space&uid=66289&do=blog&quickforward=1&id=65021",
46,"http://www.kyofun.com/home.php?mod=space&uid=1732012&do=blog&quickforward=1&id=109020"," 非常抱歉，網站維護中，請稍後再到訪。"
47,"http://www.gounboxing.com/home.php?mod=space&uid=55258&do=blog&quickforward=1&id=776",
48,"http://pentaxfans.net/home.php?mod=space&uid=69339&do=blog&quickforward=1&id=2274",
49,"http://www.gamez.com.tw/home.php?mod=space&uid=681950&do=blog&quickforward=1&id=102891",
50,"http://www.greenreadings.com/forum/home.php?mod=space&uid=131369&do=blog&quickforward=1&id=9860","無刊登內容"
